PlanetName,MissionName,MissionType
Neptune,The Index: Endurance,Arena
Ceres,Exta,Assassination
Deimos,Magnacidium,Assassination
Deimos,Exequias,Assassination
Earth,Oro,Assassination
Eris,Mutalist Alad V,Assassination
Eris,Jordas Golem,Assassination
Europa,Naamah,Assassination
Jupiter,Themisto,Assassination
Jupiter,The Ropalolyst,Assassination
Mars,War,Assassination
Mercury,Tolstoj,Assassination
Neptune,Psamathe,Assassination
Phobos,Iliad,Assassination
Pluto,Hades,Assassination
Saturn,Tethys,Assassination
Sedna,Merrow,Assassination
Uranus,Titania,Assassination
Venus,Fossa,Assassination
Kuva Fortress,Koro,Assault
Ceres,Lex,Capture
Deimos,Horend,Capture
Earth,Mantle,Capture
Eris,Isos,Capture
Europa,Abaddon,Capture
Jupiter,Ananke,Capture
Lua,Copernicus,Capture
Mars,Ara,Capture
Mercury,Elion,Capture
Neptune,Galatea,Capture
Phobos,Skyresh,Capture
Pluto,Hydra,Capture
Saturn,Cassini,Capture
Uranus,Ariel,Capture
Venus,Venera,Capture
Void,Hepit,Capture
Void,Ukko,Capture
Neptune,Yursa,Defection
Phobos,Memphis,Defection
Saturn,Caracol,Defection
Ceres,Seimeni,Defense
Ceres,Casta,Defense
Deimos,Hyf,Defense
Earth,Lith,Defense
Earth,Coba,Defense
Eris,Kala-azar,Defense
Eris,Akkad,Defense
Europa,Paimon,Defense
Europa,Larzac,Defense
Jupiter,Io,Defense
Jupiter,Sinai,Defense
Kuva Fortress,Nabuk,Defense
Lua,Stöfler,Defense
Mars,Spear,Defense
Mars,Kadesh,Defense
Mercury,Lares,Defense
Neptune,Proteus,Defense
Phobos,Gulliver,Defense
Pluto,Outer Terminus,Defense
Pluto,Sechura,Defense
Saturn,Helene,Defense
Sedna,Hydron,Defense
Sedna,Sangeru,Defense
Uranus,Stephano,Defense
Venus,Romula,Defense
Venus,Tessera,Defense
Void,Taranis,Defense
Void,Belenus,Defense
Venus Proxima,Falling Glory,Defense
Pluto Proxima,Obol Crossing,Defense
Neptune Proxima,Arva Vector,Defense
Veil Proxima,Arc Silver,Defense
Jupiter,Ganymede,Disruption
Kuva Fortress,Tamu,Disruption
Lua,Apollo,Disruption
Mars,Olympus,Disruption
Neptune,Laomedeia,Disruption
Sedna,Kappa,Disruption
Uranus,Ur,Disruption
Earth,Everest,Excavation
Earth,Tikal,Excavation
Europa,Valefor,Excavation
Europa,Cholistan,Excavation
Mars,Augustus,Excavation
Neptune,Despina,Excavation
Pluto,Hieracon,Excavation
Venus,Kiliken,Excavation
Ceres,Pallas,Exterminate
Deimos,Phlegyas,Exterminate
Earth,Mariana,Exterminate
Earth,E Prime,Exterminate
Eris,Saxis,Exterminate
Europa,Baal,Exterminate
Europa,Armaros,Exterminate
Jupiter,Carpo,Exterminate
Kuva Fortress,Dakata,Exterminate
Lua,Plato,Exterminate
Mars,Ultor,Exterminate
Mars,Syrtis,Exterminate
Mars,Hellas,Exterminate
Mercury,M Prime,Exterminate
Mercury,Pantheon,Exterminate
Neptune,Neso,Exterminate
