Nyx,Control Module,1
Volt,Plastids,500
Trinity,Credits,"15,000"
Nidus,Credits,"15,000"
Chroma,Credits,"25,000"
Loki,Salvage,500
Loki,Rubedo,300
Titania,Systems,1
Inaros,Credits,"15,000"
Rhino,Salvage,500
Harrow,Polymer Bundle,"4,000"
Loki,Credits,"15,000"
Gara,Orokin Cell,3
Gauss,Thermal Sludge,85
Atlas,Credits,"15,000"
Harrow,Ferrite,"25,000"
Rhino,Credits,"25,000"
Vauban,Neural Sensors,1
Yareli,Nano Spores,"1,500"
Zephyr,Oxium,200
Zephyr,Credits,"5,000"
Ash,Morphics,1
Ember,Credits,"15,000"
Hildryn,Chassis,1
Frost,Rubedo,300
Garuda,Sola Toroid,2
Limbo,Systems,1
Equinox,Credits,"25,000"
Garuda,Travocyte Alloy,40
Yareli,Warframe Chassis,1
Mag,Control Module,1
Mirage,Gallium,1
Saryn,Credits,"15,000"
Xaku,Credits,"15,000"
Loki,Orokin Cell,1
Hildryn,Mytocardia Spore,85
Atlas,Orokin Cell,1
Loki,Alloy Plate,150
Frost,Alloy Plate,150
Mag,Rubedo,500
Xaku,Sharrac Teeth,20
Nyx,Orokin Cell,1
Volt,Credits,"25,000"
Valkyr,Neural Sensors,1
Oberon,Orokin Cell,1
Saryn,Orokin Cell,1
Wukong,Nitain Extract,4
Volt,Salvage,500
Nidus,Morphics,14
Banshee,Mutagen Mass,1
Titania,Rubedo,900
Rhino,Plastids,600
Titania,Chassis,1
Nova,Alloy Plate,150
Wukong,Credits,"15,000"
Nidus,Polymer Bundle,"2,600"
Valkyr,Neuroptics,1
Nezha,Ferrite,"5,000"
Garuda,Credits,"15,000"
Inaros,Nitain Extract,2
Protea,Titanium,"1,750"
Wisp,Credits,"15,000"
Nekros,Rubedo,500
Nidus,Chassis,1
Wukong,Chassis,1
Octavia,Polymer Bundle,"4,800"
Limbo,Credits,"15,000"
Nidus,Plastids,"1,000"
Wisp,Credits,"25,000"
Nezha,Fieldron,1
Nezha,Credits,"10,000"
Yareli,Credits,"15,000"
Atlas,Credits,"30,000"
Protea,Orokin Cell,3
Nidus,Neural Sensors,3
Saryn,Morphics,1
Equinox,Nano Spores,500
Titania,Tellurium,1
Nekros,Neural Sensors,1
Saryn,Ferrite,1000
Gara,Morphics,2
Excalibur,Plastids,220
Volt,Credits,"15,000"
Yareli,Tellurium,2
Sevagoth,Alloy Plate,"3,300"
Vauban,Orokin Cell,1
Harrow,Circuits,"2,500"
Saryn,Credits,"15,000"
Excalibur,Chassis,1
Hildryn,Nitain Extract,2
Volt,Polymer Bundle,500
Xaku,Lucent Teroglobe,50
Mag,Neural Sensors,1
Atlas,Credits,"15,000"
Revenant,Polymer Bundle,"3,000"
Wisp,Neuroptics,1
Hildryn,Gorgaricus Spore,95
Mag,Neuroptics,1
Oberon,Credits,"25,000"
Octavia,Neuroptics,1
Baruuk,Radiant Zodian,5
Mag,Credits,"25,000"
Oberon,Polymer Bundle,150
Protea,Polymer Bundle,"5,150"
Gara,Neuroptics,1
Lavos,Credits,"15,000"
Nezha,Neural Sensors,1
Nezha,Argon Crystal,1
Equinox,Gallium,1
Wisp,Orokin Cell,3
Protea,Morphics,12
Vauban,Chassis,1
Mirage,Ferrite,"2,500"
Khora,Circuits,"2,600"
Oberon,Credits,"15,000"
Nezha,Credits,"15,000"
Grendel,Tralok Eyes,20
Wukong,Ferrite,"1,000"
Zephyr,Oxium,200
Rhino,Chassis,1
Mag,Morphics,1
Wukong,Neural Sensors,1
Protea,Carbides,"2,750"
Nidus,Orokin Cell,6
Equinox,Control Module,1
Hildryn,Credits,"25,000"
Nezha,Credits,"15,000"
Yareli,Alloy Plate,"1,000"
Harrow,Credits,"25,000"
Titania,Plastids,800
Nezha,Morphics,2
Garuda,Vega Toroid,2
Ash,Warframe Systems,1
Zephyr,Mutagen Mass,1
Zephyr,Plastids,400
Nezha,Neuroptics,1
Oberon,Circuits,500
Wukong,Neural Sensors,1
Hydroid,Chassis,1
Nekros,Orokin Cell,3
Garuda,Axidrol Alloy,40
Ivara,Nitain Extract,5
Ash,Orokin Cell,1
Saryn,Neuroptics,1
Wisp,Tellurium,2
Frost,Orokin Cell,1
Banshee,Credits,"15,000"
Limbo,Morphics,3
Ivara,Credits,"15,000"
Nyx,Morphics,1
Vauban,Systems,1
Trinity,Ferrite,1000
Hydroid,Credits,"15,000"
Gauss,Credits,"15,000"
Titania,Credits,"15,000"
Harrow,Kuva,2000
Baruuk,Alloy Plate,"2,850"
Mag,Systems,1
Loki,Neuroptics,1
Frost,Control Module,1
Chroma,Salvage,900
Excalibur,Orokin Cell,1
Sevagoth,Argon Crystal,2
Xaku,Neuroptics,1
Banshee,Mutagen Mass,1
Inaros,Chassis,1
Equinox,Salvage,500
Gauss,Radiant Zodian,3
Frost,Credits,"15,000"
Wisp,Credits,"15,000"
Trinity,Plastids,220
Sevagoth,Rubedo,750
Titania,Circuits,700
Excalibur,Control Module,1
Mesa,Polymer Bundle,300
Protea,Control Module,10
Volt,Chassis,1
Mirage,Credits,"15,000"
Valkyr,Chassis,1
Mirage,Argon Crystal,1
Yareli,Salvage,"1,000"
Vauban,Credits,"15,000"
Octavia,Neurodes,3
Oberon,Credits,"15,000"
Protea,Credits,"15,000"
Ash,Salvage,500
Harrow,Credits,"15,000"
Khora,Neuroptics,1
Baruuk,Credits,"15,000"
Zephyr,Oxium,20
Equinox,Neuroptics,1
Oberon,Rubedo,300
Zephyr,Warframe Neuroptics,1
Ash,Credits,"15,000"
Equinox,Plastids,500
Revenant,Credits,"15,000"
Excalibur,Neuroptics,1
Mirage,Credits,"15,000"
Mesa,Morphics,1
Ember,Rubedo,500
Zephyr,Credits,"25,000"
Mirage,Control Module,1
Atlas,Polymer Bundle,"1,700"
Inaros,Argon Crystal,2
Inaros,Credits,"25,000"
Gara,Cetus Wisp,2
Lavos,Oxium,750
Titania,Cryotic,"2,200"
Trinity,Salvage,500
Nezha,Argon Crystal,1
Limbo,Chassis,1
Hydroid,Systems,1
Octavia,Orokin Cell,5
Revenant,Chassis,1
Mesa,Credits,"25,000"
Sevagoth,Neural Sensors,6
Mesa,Alloy Plate,"1,500"
Trinity,Systems,1
Grendel,Credits,"15,000"
Yareli,Nitain Extract,2
Chroma,Oxium,400
Trinity,Credits,"25,000"
Saryn,Polymer Bundle,300
Equinox,Credits,"25,000"
Nyx,Neuroptics,1
Valkyr,Control Module,1
Valkyr,Credits,"15,000"
Volt,Fieldron,1
Nidus,Circuits,"3,500"
Nekros,Rubedo,300
Nova,Control Module,1
Baruuk,Marquise Thyst,5
Nova,Chassis,1
Atlas,Warframe Systems,1
Revenant,Intact Sentient Core,10
Nidus,Nano Spores,"6,000"
Wukong,Morphics,1
Revenant,Polymer Bundle,"6,000"
Atlas,Nano Spores,"1,800"
Ash,Ferrite,"1,000"
Valkyr,Ferrite,900
Wukong,Nitain Extract,5
Protea,Cryotic,"1,000"
Volt,Orokin Cell,1
Ivara,Polymer Bundle,"2,600"
Grendel,Warframe Neuroptics,1
Banshee,Salvage,500
Lavos,Cryotic,"1,500"
Volt,Control Module,1
Titania,Credits,"25,000"
Yareli,Neurodes,1
Wukong,Polymer Bundle,500
Yareli,Gallium,1
Ash,Credits,"15,000"
Banshee,Detonite Injector,1
Wukong,Nano Spores,"1,000"
Loki,Ferrite,1000
Khora,Credits,"15,000"
Nezha,Salvage,500
Revenant,Morphics,3
Mesa,Plastids,300
Zephyr,Nano Spores,900
Revenant,Orokin Cell,1
Ivara,Credits,"15,000"
Banshee,Morphics,1
Atlas,Orokin Cell,1
Limbo,Credits,"15,000"
Mag,Morphics,1
Gauss,Grokdrul,55
Octavia,Circuits,"3,000"
Protea,Credits,"25,000"
Nezha,Credits,"15,000"
Khora,Plastids,"1,000"
Zephyr,Credits,"10,000"
Wukong,Nitain Extract,2
Equinox,Credits,"15,000"
Nekros,Polymer Bundle,150
Octavia,Credits,"15,000"
Xaku,Chassis,1
Nezha,Mutagen Mass,1
Lavos,Warframe Neuroptics,1
Inaros,Credits,"15,000"
Hildryn,Credits,"15,000"
Khora,Credits,"25,000"
Loki,Chassis,1
Wisp,Systems,1
Harrow,Credits,"15,000"
Zephyr,Fieldron,1
Khora,Credits,"15,000"
Volt,Neuroptics,1
Chroma,Credits,"15,000"
Frost,Neuroptics,1
